OrderId,AccountID,StockSymbol,OrderType,Quantity,OrderPrice,Amount,OrderStatus,OrderDate
41,8,TCS,buy,50,77.38,3869.0,fulfilled,2023-11-14 11:26:02
42,9,AAPL,buy,22,91.09,2003.98,fulfilled,2023-11-10 13:01:24
43,9,AAPL,sell,22,91.09,2003.98,fulfilled,2023-11-10 13:01:24
44,9,MSFT,buy,68,24.87,1691.16,fulfilled,2023-11-06 10:29:42
45,9,GOOGL,buy,82,215.6,17679.2,fulfilled,2023-11-07 14:08:29
46,9,GOOGL,buy,93,295.36,27468.48,fulfilled,2023-11-15 10:40:33
47,9,GOOGL,sell,86,295.36,25400.960000000003,fulfilled,2023-11-15 10:40:33
48,10,TCS,buy,6,63.17,379.02,fulfilled,2023-11-16 9:52:16
49,10,MSFT,buy,50,20.31,1015.4999999999999,fulfilled,2023-11-14 12:56:54
50,10,GOOGL,buy,13,191.57,2490.41,fulfilled,2023-11-10 11:12:17
51,10,GOOGL,sell,9,191.57,1724.1299999999999,fulfilled,2023-11-10 11:12:17
52,11,TCS,buy,84,56.6,4754.400000000001,fulfilled,2023-11-09 13:59:31
53,11,AAPL,buy,4,119.48,477.92,fulfilled,2023-11-14 12:28:47
54,11,AAPL,sell,2,119.48,238.96,fulfilled,2023-11-14 12:28:47
55,11,AAPL,buy,45,65.77,2959.6499999999996,fulfilled,2023-11-15 14:26:08
56,11,GOOGL,buy,44,174.16,7663.04,fulfilled,2023-11-14 9:47:09
57,12,TCS,buy,6,113.59,681.54,fulfilled,2023-11-17 12:16:22
58,12,TCS,sell,6,113.59,681.54,fulfilled,2023-11-17 12:16:22
59,12,GOOGL,buy,74,257.2,19032.8,fulfilled,2023-11-16 13:50:06
60,12,AAPL,buy,25,69.58,1739.5,fulfilled,2023-11-08 12:04:24
61,12,AAPL,sell,12,69.58,834.96,fulfilled,2023-11-08 12:04:24
62,12,TCS,buy,51,237.75,12125.25,fulfilled,2023-11-16 14:42:42
63,13,AAPL,buy,77,65.78,5065.06,fulfilled,2023-11-08 12:00:14
64,13,AAPL,buy,66,60.92,4020.7200000000003,fulfilled,2023-11-09 10:01:16
65,13,AAPL,sell,52,60.92,3167.84,fulfilled,2023-11-09 10:01:16
66,13,MSFT,buy,2,84.17,168.34,fulfilled,2023-11-17 13:33:20
67,13,MSFT,sell,2,84.17,168.34,fulfilled,2023-11-17 13:33:20
68,13,AAPL,buy,16,62.65,1002.4,fulfilled,2023-11-10 9:03:22
69,14,MSFT,buy,32,13.21,422.72,fulfilled,2023-11-08 13:15:48
70,14,MSFT,sell,11,13.21,145.31,fulfilled,2023-11-08 13:15:48
71,15,MSFT,buy,46,27.2,1251.2,fulfilled,2023-11-14 10:25:53
72,15,MSFT,buy,80,22.79,1823.1999999999998,fulfilled,2023-11-10 13:24:58
73,15,MSFT,sell,59,22.79,1344.61,fulfilled,2023-11-10 13:24:58
74,15,AAPL,buy,72,93.97,6765.84,fulfilled,2023-11-09 14:42:08
75,16,TCS,buy,35,119.39,4178.65,fulfilled,2023-11-08 13:59:58
76,16,TCS,sell,17,119.39,2029.63,fulfilled,2023-11-08 13:59:58
77,16,TCS,buy,69,360.66,24885.54,fulfilled,2023-11-06 9:29:55
78,16,AAPL,buy,95,83.3,7913.5,fulfilled,2023-11-08 12:43:55
79,16,AAPL,sell,16,83.3,1332.8,fulfilled,2023-11-08 12:43:55
80,16,AAPL,buy,14,122.56,1715.8400000000001,fulfilled,2023-11-14 10:36:41
81,17,MSFT,buy,68,22.26,1513.68,fulfilled,2023-11-07 10:09:10
82,17,MSFT,sell,51,22.26,1135.26,fulfilled,2023-11-07 10:09:10
83,17,MSFT,buy,57,62.44,3559.08,fulfilled,2023-11-16 11:30:24
84,17,AAPL,buy,69,90.71,6258.99,fulfilled,2023-11-14 14:42:15
85,17,TCS,buy,50,61.44,3072.0,fulfilled,2023-11-10 11:06:52
86,18,MSFT,buy,82,14.41,1181.6200000000001,fulfilled,2023-11-08 14:23:13
87,18,MSFT,buy,52,15.41,801.32,fulfilled,2023-11-07 9:38:14
88,18,MSFT,sell,22,15.41,339.02,fulfilled,2023-11-07 9:38:14
89,18,AAPL,buy,78,149.02,11623.560000000001,fulfilled,2023-11-14 11:13:34
90,18,AAPL,sell,40,149.02,5960.8,fulfilled,2023-11-14 11:13:34
91,18,GOOGL,buy,1,174.71,174.71,fulfilled,2023-11-14 11:03:14
92,19,MSFT,buy,99,53.33,5279.67,fulfilled,2023-11-17 12:56:21
93,19,MSFT,sell,5,53.33,266.65,fulfilled,2023-11-17 12:56:21
94,19,AAPL,buy,17,99.89,1698.13,fulfilled,2023-11-13 9:13:52
95,19,AAPL,buy,38,90.84,3451.92,fulfilled,2023-11-13 13:38:46
96,20,TCS,buy,7,72.48,507.36,fulfilled,2023-11-09 10:36:56
97,20,AAPL,buy,40,61.26,2450.4,fulfilled,2023-11-13 10:17:45
98,20,MSFT,buy,47,22.89,1075.83,fulfilled,2023-11-09 9:13:53
99,21,MSFT,buy,36,10.5,378.0,fulfilled,2023-11-10 11:36:48
100,21,MSFT,sell,2,10.5,21.0,fulfilled,2023-11-10 11:36:48
101,21,AAPL,buy,66,100.73,6648.18,fulfilled,2023-11-09 9:00:33
102,21,AAPL,sell,50,100.73,5036.5,fulfilled,2023-11-09 9:00:33
103,21,MSFT,buy,26,25.02,650.52,fulfilled,2023-11-16 14:41:39
104,21,TCS,buy,71,60.68,4308.28,fulfilled,2023-11-06 11:43:29
105,21,TCS,sell,16,60.68,970.88,fulfilled,2023-11-06 11:43:29
106,21,MSFT,buy,76,26.97,2049.72,fulfilled,2023-11-10 9:36:36
107,22,AAPL,buy,97,79.79,7739.630000000001,fulfilled,2023-11-13 11:43:07
108,22,MSFT,buy,28,28.09,786.52,fulfilled,2023-11-06 9:16:45
109,22,TCS,buy,95,93.85,8915.75,fulfilled,2023-11-16 11:52:30
110,22,GOOGL,buy,12,163.66,1963.92,fulfilled,2023-11-08 9:28:15
111,22,GOOGL,buy,78,151.6,11824.8,fulfilled,2023-11-10 14:08:20
112,23,TCS,buy,84,56.68,4761.12,fulfilled,2023-11-17 12:34:43
113,23,TCS,buy,49,112.7,5522.3,fulfilled,2023-11-08 11:47:47
114,24,MSFT,buy,97,11.36,1101.9199999999998,fulfilled,2023-11-14 11:01:24
115,25,GOOGL,buy,37,212.1,7847.7,fulfilled,2023-11-09 12:44:59
116,25,GOOGL,sell,35,212.1,7423.5,fulfilled,2023-11-09 12:44:59
117,25,GOOGL,buy,90,160.04,14403.599999999999,fulfilled,2023-11-17 10:48:31
118,25,GOOGL,sell,84,160.04,13443.359999999999,fulfilled,2023-11-17 10:48:31
119,26,MSFT,buy,74,49.79,3684.46,fulfilled,2023-11-13 11:58:05
120,26,TCS,buy,47,53.27,2503.69,fulfilled,2023-11-10 12:52:45
121,26,AAPL,buy,62,111.06,6885.72,fulfilled,2023-11-08 14:27:45
122,27,MSFT,buy,10,36.62,366.2,fulfilled,2023-11-13 12:20:54
123,27,MSFT,sell,1,36.62,36.62,fulfilled,2023-11-13 12:20:54
124,27,TCS,buy,52,83.68,4351.360000000001,fulfilled,2023-11-10 14:43:06
125,27,TCS,sell,46,83.68,3849.28,fulfilled,2023-11-10 14:43:06
126,27,TCS,buy,28,82.73,2316.44,fulfilled,2023-11-14 10:14:33
127,27,MSFT,buy,52,13.4,696.8000000000001,fulfilled,2023-11-17 12:28:38
128,27,MSFT,sell,45,13.4,603.0,fulfilled,2023-11-17 12:28:38
129,28,GOOGL,buy,38,214.65,8156.7,fulfilled,2023-11-16 10:09:35
130,29,MSFT,buy,15,36.06,540.9000000000001,fulfilled,2023-11-17 12:05:27
131,29,GOOGL,buy,68,302.78,20589.039999999997,fulfilled,2023-11-13 11:36:48
132,29,GOOGL,buy,97,289.29,28061.13,fulfilled,2023-11-13 13:44:12
133,29,GOOGL,sell,73,289.29,21118.170000000002,fulfilled,2023-11-13 13:44:12
134,29,MSFT,buy,58,18.09,1049.22,fulfilled,2023-11-14 13:20:37
135,29,MSFT,sell,9,18.09,162.81,fulfilled,2023-11-14 13:20:37
136,30,AAPL,buy,80,104.27,8341.6,fulfilled,2023-11-14 14:50:17
137,30,AAPL,sell,72,104.27,7507.44,fulfilled,2023-11-14 14:50:17
138,30,MSFT,buy,27,11.61,313.46999999999997,fulfilled,2023-11-14 11:53:30
139,30,MSFT,buy,56,50.14,2807.84,fulfilled,2023-11-06 12:26:38
140,30,MSFT,sell,22,50.14,1103.08,fulfilled,2023-11-06 12:26:38
141,31,AAPL,buy,27,71.56,1932.1200000000001,fulfilled,2023-11-13 12:29:50
142,31,AAPL,sell,3,71.56,214.68,fulfilled,2023-11-13 12:29:50
143,32,TCS,buy,85,63.01,5355.849999999999,fulfilled,2023-11-09 9:35:48
144,32,TCS,sell,85,63.01,5355.849999999999,fulfilled,2023-11-09 9:35:48
145,32,MSFT,buy,75,43.99,3299.25,fulfilled,2023-11-13 11:38:51
146,32,AAPL,buy,65,61.54,4000.1,fulfilled,2023-11-17 9:47:54
147,32,AAPL,sell,60,61.54,3692.4,fulfilled,2023-11-17 9:47:54
148,33,MSFT,buy,52,94.16,4896.32,fulfilled,2023-11-16 9:35:15
149,33,MSFT,sell,19,94.16,1789.04,fulfilled,2023-11-16 9:35:15
150,34,MSFT,buy,58,133.0,7714.0,fulfilled,2023-11-17 9:16:45
151,34,MSFT,sell,46,133.0,6118.0,fulfilled,2023-11-17 9:16:45
152,34,MSFT,buy,30,18.53,555.9000000000001,fulfilled,2023-11-08 10:28:23
153,34,MSFT,sell,13,18.53,240.89000000000001,fulfilled,2023-11-08 10:28:23
154,34,GOOGL,buy,61,164.72,10047.92,fulfilled,2023-11-14 10:20:31
155,34,GOOGL,sell,49,164.72,8071.28,fulfilled,2023-11-14 10:20:31
156,34,GOOGL,buy,6,234.73,1408.3799999999999,fulfilled,2023-11-06 14:31:00
157,35,TCS,buy,72,275.29,19820.88,fulfilled,2023-11-15 14:19:30
158,35,TCS,sell,27,275.29,7432.830000000001,fulfilled,2023-11-15 14:19:30
159,36,MSFT,buy,56,23.86,1336.1599999999999,fulfilled,2023-11-07 10:46:31
160,36,MSFT,buy,7,123.59,865.13,fulfilled,2023-11-17 9:32:04
161,36,MSFT,sell,1,123.59,123.59,fulfilled,2023-11-17 9:32:04
162,36,AAPL,buy,46,72.87,3352.0200000000004,fulfilled,2023-11-15 11:41:13
163,36,AAPL,sell,37,72.87,2696.19,fulfilled,2023-11-15 11:41:13
164,37,MSFT,buy,66,21.25,1402.5,fulfilled,2023-11-07 12:24:07
165,38,TCS,buy,78,239.21,18658.38,fulfilled,2023-11-16 14:02:02
166,38,GOOGL,buy,55,227.94,12536.7,fulfilled,2023-11-07 11:53:43
167,38,GOOGL,sell,2,227.94,455.88,fulfilled,2023-11-07 11:53:43
168,38,AAPL,buy,28,174.27,4879.56,fulfilled,2023-11-07 11:51:55
169,38,AAPL,buy,37,60.07,2222.59,fulfilled,2023-11-09 14:52:21
170,38,TCS,buy,24,144.32,3463.68,fulfilled,2023-11-07 13:04:56
171,39,AAPL,buy,7,126.42,884.94,fulfilled,2023-11-15 14:59:09
172,39,AAPL,sell,7,126.42,884.94,fulfilled,2023-11-15 14:59:09
173,40,AAPL,buy,37,54.42,2013.54,fulfilled,2023-11-06 13:58:46
174,40,AAPL,sell,5,54.42,272.1,fulfilled,2023-11-06 13:58:46
175,40,MSFT,buy,26,10.94,284.44,fulfilled,2023-11-15 9:12:16
176,40,MSFT,buy,30,14.64,439.20000000000005,fulfilled,2023-11-13 10:15:39
177,41,GOOGL,buy,20,164.08,3281.6000000000004,fulfilled,2023-11-14 11:02:21
178,41,GOOGL,sell,3,164.08,492.24,fulfilled,2023-11-14 11:02:21
179,41,TCS,buy,54,58.56,3162.2400000000002,fulfilled,2023-11-09 14:32:12
180,42,MSFT,buy,49,29.51,1445.99,fulfilled,2023-11-13 12:25:00
181,42,MSFT,sell,30,29.51,885.3000000000001,fulfilled,2023-11-13 12:25:00
182,42,AAPL,buy,13,67.13,872.6899999999999,fulfilled,2023-11-15 10:07:01
183,42,TCS,buy,18,93.2,1677.6000000000001,fulfilled,2023-11-17 10:31:07
184,42,AAPL,buy,72,144.37,10394.64,fulfilled,2023-11-14 11:13:19
185,42,MSFT,buy,58,11.93,691.9399999999999,fulfilled,2023-11-10 12:57:34
186,43,TCS,buy,73,56.98,4159.54,fulfilled,2023-11-08 12:05:55
187,43,TCS,sell,44,56.98,2507.12,fulfilled,2023-11-08 12:05:55
188,43,MSFT,buy,40,11.77,470.79999999999995,fulfilled,2023-11-16 12:55:08
189,43,MSFT,sell,23,11.77,270.71,fulfilled,2023-11-16 12:55:08
190,44,GOOGL,buy,45,163.33,7349.85,fulfilled,2023-11-07 11:01:35
191,44,TCS,buy,58,483.78,28059.239999999998,fulfilled,2023-11-13 12:03:28
192,44,TCS,buy,49,50.94,2496.06,fulfilled,2023-11-14 13:45:02
193,44,TCS,sell,15,50.94,764.0999999999999,fulfilled,2023-11-14 13:45:02
194,45,MSFT,buy,5,19.84,99.2,fulfilled,2023-11-13 10:25:28
195,45,MSFT,sell,4,19.84,79.36,fulfilled,2023-11-13 10:25:28
196,45,GOOGL,buy,34,309.1,10509.400000000001,fulfilled,2023-11-07 13:00:24
197,45,TCS,buy,79,226.87,17922.73,fulfilled,2023-11-16 12:45:20
198,45,TCS,buy,27,165.86,4478.22,fulfilled,2023-11-06 13:32:56
199,45,TCS,sell,6,165.86,995.1600000000001,fulfilled,2023-11-06 13:32:56
200,45,GOOGL,buy,6,231.29,1387.74,fulfilled,2023-11-15 12:43:36
201,46,TCS,buy,86,65.92,5669.12,fulfilled,2023-11-07 12:20:44
202,46,GOOGL,buy,25,275.35,6883.750000000001,fulfilled,2023-11-13 13:41:49
203,46,AAPL,buy,76,77.46,5886.959999999999,fulfilled,2023-11-06 9:11:48
204,46,TCS,buy,59,68.26,4027.34,fulfilled,2023-11-15 10:30:52
205,46,TCS,sell,1,68.26,68.26,fulfilled,2023-11-15 10:30:52
206,47,TCS,buy,72,77.68,5592.960000000001,fulfilled,2023-11-09 10:18:15
207,47,TCS,buy,43,105.36,4530.48,fulfilled,2023-11-10 13:48:43
208,48,GOOGL,buy,44,242.38,10664.72,fulfilled,2023-11-15 10:16:36
209,48,AAPL,buy,21,176.17,3699.5699999999997,fulfilled,2023-11-14 11:42:48
210,48,AAPL,sell,17,176.17,2994.89,fulfilled,2023-11-14 11:42:48
211,49,TCS,buy,77,86.87,6688.990000000001,fulfilled,2023-11-16 9:33:21
212,49,TCS,sell,35,86.87,3040.4500000000003,fulfilled,2023-11-16 9:33:21
213,49,AAPL,buy,61,74.9,4568.900000000001,fulfilled,2023-11-17 11:51:44
214,49,AAPL,sell,14,74.9,1048.6000000000001,fulfilled,2023-11-17 11:51:44
215,50,GOOGL,buy,27,159.54,4307.58,fulfilled,2023-11-06 14:24:07
216,50,GOOGL,sell,26,159.54,4148.04,fulfilled,2023-11-06 14:24:07
217,50,MSFT,buy,42,24.69,1036.98,fulfilled,2023-11-08 11:46:20
218,51,MSFT,buy,70,13.18,922.6,fulfilled,2023-11-10 10:22:01
219,51,TCS,buy,72,52.83,3803.7599999999998,fulfilled,2023-11-16 10:05:57
220,51,TCS,sell,27,52.83,1426.4099999999999,fulfilled,2023-11-16 10:05:57
221,51,AAPL,buy,93,143.56,13351.08,fulfilled,2023-11-09 14:09:17
222,51,AAPL,sell,68,143.56,9762.08,fulfilled,2023-11-09 14:09:17
223,52,TCS,buy,47,59.38,2790.86,fulfilled,2023-11-10 10:31:32
224,52,TCS,sell,31,59.38,1840.78,fulfilled,2023-11-10 10:31:32
225,52,MSFT,buy,20,102.0,2040.0,fulfilled,2023-11-17 9:28:36
226,52,MSFT,sell,10,102.0,1020.0,fulfilled,2023-11-17 9:28:36
227,52,TCS,buy,79,277.25,21902.75,fulfilled,2023-11-06 10:00:59
228,52,GOOGL,buy,59,245.86,14505.740000000002,fulfilled,2023-11-15 14:11:35
229,53,GOOGL,buy,99,184.74,18289.260000000002,fulfilled,2023-11-09 11:45:15
230,53,GOOGL,sell,15,184.74,2771.1000000000004,fulfilled,2023-11-09 11:45:15
231,53,MSFT,buy,41,17.96,736.36,fulfilled,2023-11-13 9:28:35
232,53,GOOGL,buy,41,172.72,7081.5199999999995,fulfilled,2023-11-10 10:21:35
233,53,GOOGL,sell,20,172.72,3454.4,fulfilled,2023-11-10 10:21:35
234,54,AAPL,buy,23,153.27,3525.21,fulfilled,2023-11-09 11:52:55
235,54,AAPL,sell,3,153.27,459.81000000000006,fulfilled,2023-11-09 11:52:55
236,55,TCS,buy,59,383.05,22599.95,fulfilled,2023-11-09 11:57:08
237,55,TCS,sell,26,383.05,9959.300000000001,fulfilled,2023-11-09 11:57:08
238,55,AAPL,buy,81,70.63,5721.03,fulfilled,2023-11-15 11:56:07
239,55,AAPL,buy,95,68.5,6507.5,fulfilled,2023-11-09 13:51:26
240,56,MSFT,buy,78,23.36,1822.08,fulfilled,2023-11-09 11:49:18
241,56,MSFT,sell,63,23.36,1471.68,fulfilled,2023-11-09 11:49:18
242,56,MSFT,buy,73,17.67,1289.91,fulfilled,2023-11-08 12:14:05
243,56,GOOGL,buy,29,246.43,7146.47,fulfilled,2023-11-09 12:25:36
244,56,GOOGL,sell,16,246.43,3942.88,fulfilled,2023-11-09 12:25:36
245,56,AAPL,buy,44,175.39,7717.16,fulfilled,2023-11-08 13:54:15
246,57,MSFT,buy,68,13.03,886.04,fulfilled,2023-11-06 9:39:32
247,57,MSFT,buy,10,14.44,144.4,fulfilled,2023-11-14 10:07:32
248,57,MSFT,sell,9,14.44,129.96,fulfilled,2023-11-14 10:07:32
249,57,MSFT,buy,58,21.62,1253.96,fulfilled,2023-11-06 9:27:40
250,57,MSFT,sell,42,21.62,908.0400000000001,fulfilled,2023-11-06 9:27:40
251,57,MSFT,buy,64,10.0,640.0,fulfilled,2023-11-13 14:31:35
252,57,MSFT,sell,61,10.0,610.0,fulfilled,2023-11-13 14:31:35
253,57,TCS,buy,70,58.15,4070.5,fulfilled,2023-11-16 10:18:49
254,57,TCS,sell,33,58.15,1918.95,fulfilled,2023-11-16 10:18:49
255,58,GOOGL,buy,22,201.94,4442.68,fulfilled,2023-11-09 12:19:02
256,58,GOOGL,sell,14,201.94,2827.16,fulfilled,2023-11-09 12:19:02
257,58,TCS,buy,40,54.23,2169.2,fulfilled,2023-11-08 12:07:31
258,58,TCS,sell,9,54.23,488.07,fulfilled,2023-11-08 12:07:31
259,59,AAPL,buy,47,86.33,4057.5099999999998,fulfilled,2023-11-14 12:37:29
260,59,GOOGL,buy,54,281.28,15189.119999999999,fulfilled,2023-11-17 9:58:58
261,59,GOOGL,buy,29,178.41,5173.89,fulfilled,2023-11-09 10:18:04
262,59,GOOGL,sell,27,178.41,4817.07,fulfilled,2023-11-09 10:18:04
263,60,MSFT,buy,11,28.93,318.23,fulfilled,2023-11-16 13:18:41
264,60,MSFT,sell,11,28.93,318.23,fulfilled,2023-11-16 13:18:41
265,61,TCS,buy,81,87.29,7070.490000000001,fulfilled,2023-11-14 10:11:58
266,61,TCS,sell,69,87.29,6023.01,fulfilled,2023-11-14 10:11:58
267,61,TCS,buy,12,80.34,964.08,fulfilled,2023-11-17 10:51:33
268,61,MSFT,buy,49,51.55,2525.95,fulfilled,2023-11-06 11:52:51
269,61,MSFT,sell,6,51.55,309.29999999999995,fulfilled,2023-11-06 11:52:51
270,62,GOOGL,buy,52,330.05,17162.600000000002,fulfilled,2023-11-08 11:58:28
271,62,AAPL,buy,15,53.76,806.4,fulfilled,2023-11-13 11:31:54
272,62,AAPL,sell,14,53.76,752.64,fulfilled,2023-11-13 11:31:54
273,62,AAPL,buy,8,169.07,1352.56,fulfilled,2023-11-07 14:12:57
274,63,AAPL,buy,50,95.29,4764.5,fulfilled,2023-11-09 12:22:15
275,63,AAPL,sell,32,95.29,3049.28,fulfilled,2023-11-09 12:22:15
276,63,AAPL,buy,13,79.83,1037.79,fulfilled,2023-11-10 9:37:09
277,64,MSFT,buy,29,24.22,702.38,fulfilled,2023-11-09 11:46:40
278,64,AAPL,buy,89,141.28,12573.92,fulfilled,2023-11-10 11:41:24
279,64,AAPL,sell,54,141.28,7629.12,fulfilled,2023-11-10 11:41:24
280,64,AAPL,buy,52,93.79,4877.08,fulfilled,2023-11-10 10:01:36
281,64,AAPL,buy,61,69.64,4248.04,fulfilled,2023-11-17 9:43:15
282,65,MSFT,buy,44,20.53,903.32,fulfilled,2023-11-10 11:09:39
283,66,GOOGL,buy,35,187.18,6551.3,fulfilled,2023-11-15 13:07:13
284,67,GOOGL,buy,8,219.98,1759.84,fulfilled,2023-11-15 14:15:55
285,68,TCS,buy,70,62.64,4384.8,fulfilled,2023-11-06 11:43:15
286,68,TCS,buy,94,76.65,7205.1,fulfilled,2023-11-10 10:56:10
287,69,AAPL,buy,97,66.43,6443.710000000001,fulfilled,2023-11-13 12:50:34
288,70,AAPL,buy,49,88.7,4346.3,fulfilled,2023-11-15 13:55:54
289,70,AAPL,sell,20,88.7,1774.0,fulfilled,2023-11-15 13:55:54
290,71,AAPL,buy,82,95.13,7800.66,fulfilled,2023-11-06 9:29:23
291,71,AAPL,sell,29,95.13,2758.77,fulfilled,2023-11-06 9:29:23
292,71,GOOGL,buy,18,205.8,3704.4,fulfilled,2023-11-08 13:00:38
293,71,GOOGL,sell,14,205.8,2881.2000000000003,fulfilled,2023-11-08 13:00:38
294,71,MSFT,buy,6,139.25,835.5,fulfilled,2023-11-16 9:16:48
295,71,MSFT,sell,1,139.25,139.25,fulfilled,2023-11-16 9:16:48
296,71,GOOGL,buy,20,150.0,3000.0,fulfilled,2023-11-09 14:12:26
297,71,GOOGL,sell,17,150.0,2550.0,fulfilled,2023-11-09 14:12:26
298,72,GOOGL,buy,56,153.84,8615.04,fulfilled,2023-11-09 14:45:22
299,72,GOOGL,sell,4,153.84,615.36,fulfilled,2023-11-09 14:45:22
300,73,GOOGL,buy,88,270.5,23804.0,fulfilled,2023-11-14 14:22:36
301,74,MSFT,buy,55,10.92,600.6,fulfilled,2023-11-10 11:39:13
302,74,MSFT,sell,47,10.92,513.24,fulfilled,2023-11-10 11:39:13
303,74,AAPL,buy,85,77.65,6600.250000000001,fulfilled,2023-11-06 14:33:00
304,74,AAPL,sell,39,77.65,3028.3500000000004,fulfilled,2023-11-06 14:33:00
305,74,TCS,buy,29,66.24,1920.9599999999998,fulfilled,2023-11-14 14:51:53
306,74,TCS,buy,37,131.16,4852.92,fulfilled,2023-11-16 13:24:27
307,74,TCS,sell,35,131.16,4590.599999999999,fulfilled,2023-11-16 13:24:27
308,75,TCS,buy,70,51.6,3612.0,fulfilled,2023-11-16 11:12:22
309,75,TCS,buy,29,65.97,1913.1299999999999,fulfilled,2023-11-15 10:28:46
310,75,GOOGL,buy,92,300.54,27649.68,fulfilled,2023-11-07 14:36:41
311,75,GOOGL,sell,28,300.54,8415.12,fulfilled,2023-11-07 14:36:41
312,75,TCS,buy,14,331.54,4641.56,fulfilled,2023-11-08 10:14:47
313,75,GOOGL,buy,24,350.0,8400.0,fulfilled,2023-11-14 12:14:42
314,76,MSFT,buy,67,49.61,3323.87,fulfilled,2023-11-06 11:57:25
315,76,AAPL,buy,65,65.57,4262.049999999999,fulfilled,2023-11-16 12:43:01
316,76,AAPL,sell,55,65.57,3606.3499999999995,fulfilled,2023-11-16 12:43:01
317,77,AAPL,buy,77,192.18,14797.86,fulfilled,2023-11-16 9:58:40
318,77,AAPL,sell,30,192.18,5765.400000000001,fulfilled,2023-11-16 9:58:40
319,77,AAPL,buy,57,119.82,6829.74,fulfilled,2023-11-07 9:26:28
320,77,AAPL,sell,54,119.82,6470.28,fulfilled,2023-11-07 9:26:28
321,77,GOOGL,buy,65,288.92,18779.8,fulfilled,2023-11-16 14:30:07
322,78,AAPL,buy,82,94.61,7758.0199999999995,fulfilled,2023-11-06 10:30:22
323,78,GOOGL,buy,5,172.94,864.7,fulfilled,2023-11-07 9:16:11
324,78,MSFT,buy,28,18.08,506.23999999999995,fulfilled,2023-11-07 9:13:46
325,78,AAPL,buy,63,121.96,7683.48,fulfilled,2023-11-06 10:07:44
